pheno_name	pool	p	q	n	entropy	p_val
Family_211ds20	1	0	18	31	0	1
Family_211ds20	2	0	8	16	0	1
Family_37-13	1	30	0	31	0	1
Family_37-13	2	14	0	16	0	1
Family_4572-13	1	8	0	31	0	1
Family_4572-13	2	1	3	16	0.702819531114783	0.0429578675838349
Family_67-14	1	2	13	31	0.780878332902224	0
Family_67-14	2	2	3	16	0.827819531114783	0.132570128885519
Family_A0839	1	1	1	31	0.319625568412056	0
Family_A0839	2	0	6	16	0	1
Family_A4b	1	0	22	31	0	1
Family_A4b	2	0	14	16	0	1
Family_AB1	1	9	0	31	0	1
Family_AB1	2	1	1	16	0.5	0.0154197530864198
Family_AKIW781	1	0	12	31	0	1
Family_AKIW781	2	0	5	16	0	1
Family_AKYG1722	1	4	0	31	0	1
Family_AKYG1722	2	0	12	16	0	1
Family_AKYH767	1	0	9	31	0	1
Family_AKYH767	2	0	2	16	0	1
Family_Abditibacteriaceae	1	1	7	31	0.64458342028038	0
Family_Abditibacteriaceae	2	2	1	16	0.625	0.0105847457627119
Family_Acetobacteraceae	1	27	0	31	0	1
Family_Acetobacteraceae	2	6	0	16	0	1
Family_Acholeplasmataceae	1	31	0	31	0	1
Family_Acholeplasmataceae	2	14	0	16	0	1
Family_Acidiferrobacteraceae	1	16	0	31	0	1
Family_Acidiferrobacteraceae	2	4	0	16	0	1
Family_Acidithiobacillaceae	1	1	4	31	0.540999404901109	0
Family_Acidithiobacillaceae	2	0	3	16	0	1
Family_Alcaligenaceae	1	13	0	31	0	1
Family_Alcaligenaceae	2	5	1	16	0.774397470347699	0.0906929755327545
Family_Alcanivoracaceae	1	6	2	31	0.713670821895744	0
Family_Alcanivoracaceae	2	1	2	16	0.625	0.0154197530864198
Family_Alicyclobacillaceae	1	0	1	31	0	1
Family_Alicyclobacillaceae	2	0	5	16	0	1
Family_Alkalibaculum	1	14	0	31	0	1
Family_Alkalibaculum	2	4	0	16	0	1
Family_Alkaliphilus	1	2	4	31	0.636296060074879	0
Family_Alkaliphilus	2	1	2	16	0.625	0.0105847457627119
Family_Alteromonadaceae	1	3	5	31	0.750614274403056	0
Family_Alteromonadaceae	2	0	6	16	0	1
Family_Amb-16S-1323	1	0	29	31	0	1
Family_Amb-16S-1323	2	0	6	16	0	1
Family_Amoebophilaceae	1	0	0	31	0	1
Family_Amoebophilaceae	2	2	0	16	0	1
Family_Anaerolineaceae	1	0	8	31	0	1
Family_Anaerolineaceae	2	0	2	16	0	1
Family_Anaeromyxobacteraceae	1	2	1	31	0.414922223585827	0
Family_Anaeromyxobacteraceae	2	0	1	16	0	1
Family_Anaerovoracaceae	1	0	2	31	0	1
Family_Anaerovoracaceae	2	0	2	16	0	1
Family_Aneurinibacillaceae	1	0	21	31	0	1
Family_Aneurinibacillaceae	2	0	10	16	0	1
Family_Ardenticatenaceae	1	0	15	31	0	1
Family_Ardenticatenaceae	2	0	6	16	0	1
Family_Azospirillaceae	1	6	0	31	0	1
Family_Azospirillaceae	2	2	0	16	0	1
Family_Azospirillales_Incertae_Sedis	1	21	0	31	0	1
Family_Azospirillales_Incertae_Sedis	2	1	2	16	0.625	0.0196692913385827
Family_B1-7BS	1	9	0	31	0	1
Family_B1-7BS	2	0	4	16	0	1
Family_BBMC-4	1	0	7	31	0	1
Family_BBMC-4	2	0	5	16	0	1
Family_BIrii41	1	8	5	31	0.928868114857825	0.125470319634703
Family_BIrii41	2	1	2	16	0.625	0.0105847457627119
Family_Babeliaceae	1	0	8	31	0	1
Family_Babeliaceae	2	1	1	16	0.5	0.0196692913385827
Family_Bacillaceae	1	0	12	31	0	1
Family_Bacillaceae	2	0	4	16	0	1
Family_Bacteriovoracaceae	1	0	18	31	0	1
Family_Bacteriovoracaceae	2	0	6	16	0	1
Family_Bacteroidetes_vadinHA17	1	12	0	31	0	1
Family_Bacteroidetes_vadinHA17	2	7	0	16	0	1
Family_Bdellovibrionaceae	1	0	11	31	0	1
Family_Bdellovibrionaceae	2	0	8	16	0	1
