pheno_name	heritability	experimental	residuals	ratio_test_p	residuals_norm_p	het_test_p
OTU-B_1	9	53	38	0.138296069189801	0.415231436617748	0.886995486043692
OTU-B_2	16	46	38	0.0240669627380337	0.263978307815574	0.921160808861084
OTU-B_3224	0	43	57	1	2.44621880072093e-08	0.42609111042685
OTU-B_137	0	12	88	1	0.592466006976103	0.987450956364921
OTU-B_3212	14	28	58	0.232951914303161	8.34759764894728e-09	0.486781140225053
OTU-B_463	0	12	88	1	0.000887137454275155	0.985594637592543
OTU-B_2275	3	2	95	1	0.00478315272840432	0.878831688008287
OTU-B_3357	3	20	77	1	6.93354178382261e-05	0.898772599263407
OTU-B_1532	3	6	91	1	0.316923414743385	0.972395252339433
OTU-B_1178	0	40	60	1	5.88120235558637e-05	0.582252548103064
OTU-B_3373	19	14	67	0.110886182623396	0.127883370807238	0.943029694414051
OTU-B_1732	11	15	74	0.403763687399441	0.00122435835393466	0.941142456279752
OTU-B_2822	10	4	86	0.531545257010834	9.10630059556183e-15	0.0750345647641208
OTU-B_3012	9	9	82	0.625231985605945	1.07013651151206e-08	0.571535335009633
OTU-B_3507	15	34	51	0.0735579874732204	9.17203940547554e-08	0.452283927448432
OTU-B_3288	7	19	74	0.669360722338471	8.7588390125514e-15	0.596616967518091
OTU-B_3746	17	15	68	0.126616394624397	9.97567214116764e-06	0.813759078846265
OTU-B_1538	9	20	71	0.502727431991152	0.0311511062016284	0.673653166244701
OTU-B_934	14	41	45	0.0505676849157661	0.306006051884351	0.804130958081711
OTU-B_2117	0	25	75	1	0.0153953084601795	0.397109641800823
OTU-B_27	7	50	43	0.380545166960052	0.992010606706206	4.34701953510954e-06
OTU-B_607	4	52	44	0.766568981886009	0.000138992543953806	0.357471715317389
OTU-B_52	0	35	65	1	0.254742703849977	0.942929972779066
OTU-B_391	5	9	86	0.963360907019604	2.14610179385899e-06	0.476989669604765
OTU-B_454	0	8	92	1	7.64182748810052e-05	0.964097905021669
OTU-B_1978	17	53	30	0.00184542638994964	0.000115884401342547	0.408865660070405
OTU-B_2082	1	49	50	1	0.00474964311905905	0.688389654117596
OTU-B_2567	4	11	85	1	5.75148588311651e-07	0.805269299383636
OTU-B_3597	8	31	61	0.467958077879933	5.66139996111404e-09	0.498846290302389
OTU-B_2911	13	37	50	0.13164728509596	2.00365054780502e-07	0.763523096034412
OTU-B_2756	0	8	92	1	3.35713507748928e-06	0.499416001092004
OTU-B_110	8	52	40	0.282012945634705	0.840907128846907	0.901982717274597
OTU-B_1637	0	20	80	1	0.0158655022950847	0.517071487891133
OTU-B_684	0	48	52	1	3.85511305749957e-06	0.189732960816504
OTU-B_1221	0	44	56	1	0.0805604749824536	0.876064788746956
OTU-B_1438	20	1	79	0.13164728509596	0.000118036490682047	0.291472733948701
OTU-B_2028	8	6	86	0.662720669245385	3.57775685501472e-06	0.490991958108454
OTU-B_1993	3	11	86	1	4.57436111161128e-09	0.978254289671243
OTU-B_2055	4	4	92	1	0.00574768963466727	0.976909702605231
OTU-B_3414	6	64	30	0.229095806304779	7.38901629004949e-13	0.0532015373238937
OTU-B_1233	0	6	94	1	0.000629809168992191	0.890017362303898
OTU-B_803	6	19	75	0.757181526974226	1.20073140581451e-05	0.488353033738695
OTU-B_1136	0	2	98	1	3.4315624134925e-06	0.929582618929597
OTU-B_2624	7	9	84	0.733964698019428	6.11157268182456e-06	0.591939427417672
OTU-B_1177	2	10	88	1	0.124917333943969	0.693314935500322
OTU-B_2583	12	29	59	0.229929437105007	3.46284641080688e-07	0.319215630182425
OTU-B_2016	0	13	87	1	0.0142320755159117	0.806752739471142
OTU-B_388	2	60	38	1	0.00351398842905008	0.483534079878728
OTU-B_702	4	68	28	0.505350328471941	0.000166102700837479	0.529989119108789
OTU-B_407	17	46	37	0.0135215672329495	0.190699277969989	0.937464434250512
OTU-B_764	19	6	75	0.130030681992084	0.000134914843287944	0.633290073801981
OTU-B_3370	6	12	82	0.771036599956015	2.8689113590942e-11	0.626404513575836
OTU-B_2871	17	20	63	0.0824176398029944	1.58821956924118e-07	0.392022580311501
OTU-B_3664	10	20	70	0.439430105337017	7.88721137775153e-05	0.85209537564165
OTU-B_2600	14	1	85	0.365000626532328	2.20646809679754e-06	0.267581904772222
OTU-B_1054	8	11	81	0.689921849837444	1.67577658846437e-10	0.1111126600512
OTU-B_2895	3	9	88	1	3.47229239467933e-09	0.905802807536306
OTU-B_1504	2	13	85	1	0.16874366445068	0.828125331695781
OTU-B_51	31	23	46	0.00114358949073406	0.346649435176644	0.924710355691812
OTU-B_1432	9	20	71	0.514941934212131	0.00475271909919556	0.167554899457385
OTU-B_843	15	30	55	0.102834050484405	1.51022628734319e-08	0.0840214217793707
OTU-B_392	12	23	65	0.282713660858395	9.75559299273766e-07	0.313500796890465
OTU-B_2149	8	39	53	0.42136517434395	0.158517347640251	0.385600205520638
OTU-B_2539	10	19	71	0.500328031480605	6.38168752675559e-11	0.182922905368156
OTU-B_2771	3	14	83	1	8.60928888959953e-11	0.679277286573889
OTU-B_150	0	11	89	1	0.50420992171825	0.990913764049137
OTU-B_2088	7	9	84	0.775237582419727	2.01566988795662e-07	0.455118952764442
OTU-B_2916	18	33	49	0.0416478509932437	9.84538266101943e-11	0.109844846714104
OTU-B_2625	0	19	81	1	1.35528313939725e-06	0.831230407605104
OTU-B_3347	13	24	63	0.2290642145669	8.30019778343785e-09	0.579556849586033
OTU-B_624	5	35	60	0.82574536978099	0.465759598448134	0.538119211495277
OTU-B_1288	0	9	91	1	0.640873146067343	0.50858879891124
OTU-B_3245	23	25	52	0.00940044353401813	1.93125946593057e-11	0.481893715537586
OTU-B_1269	5	33	62	0.766568981886009	8.82051812884882e-15	0.0280554180747461
OTU-B_404	36	28	36	1.17258835287674e-06	0.632638594522068	0.787312489327179
OTU-B_2134	12	5	83	0.411234775952181	4.66851436470312e-05	0.519023331629878
OTU-B_839	13	5	82	0.302599523716873	0.00141383515480491	0.74116858406027
OTU-B_1721	9	17	74	0.537780485228302	0.105389252075207	0.853249885017045
OTU-B_1789	7	24	69	0.640732994885938	0.567208072693475	0.544051558549031
OTU-B_1589	4	39	57	0.81428118396728	0.00354819726799726	0.756996385448628
OTU-B_140	24	38	38	0.000600087569461677	0.669065060188735	0.792138595003376
OTU-B_447	11	29	60	0.302643706217201	0.025813326188509	0.540504013499427
OTU-B_2691	15	3	82	0.247209928876048	3.76590768502407e-05	0.616791317386027
OTU-B_1108	1	35	64	1	0.00251240424607996	0.972202108109625
OTU-B_3351	14	12	74	0.263890889100948	2.50152296517072e-11	0.251365928582724
OTU-B_1614	6	15	79	0.683764210847456	2.01788197219081e-05	0.0872828939591874
