id_dmr	root_mC	leaf_mC	adj_p	fold_change	status
dmr_10000_CG	0.974333333333333	0.781	2.8904382591951e-11	1.2475458813487	equal
dmr_10001_CG	0.974333333333333	0.781	2.8904382591951e-11	1.2475458813487	equal
dmr_10002_CG	0.847666666666667	0.8185	2.48111464142051e-146	1.03563429036856	equal
dmr_10003_CG	0.277666666666667	0.771	3.62525326321311e-10	2.77671068427371	equal
dmr_10004_CG	0.161	0.3885	3.03255198120231e-07	2.41304347826087	equal
dmr_10005_CG	0.6	0.9	0.117750988811988	1.5	equal
dmr_10006_CG	0.682333333333333	0.8375	0.12833041811186	1.22740595994138	equal
dmr_10007_CG	0.794333333333333	0.789	0.361782163424503	1.00675961132235	equal
dmr_10008_CG	0.522666666666667	0.5765	0.684071250388369	1.10299744897959	equal
dmr_10009_CG	0.559666666666667	0.72	0.0588170006967158	1.28648004764741	equal
dmr_1000_CG	0.696333333333333	0.9	0.00164157490467096	1.2924844423169	equal
dmr_1000_CHG	0.925333333333333	0.5825	1.58098651783376e-17	1.58855507868383	equal
dmr_1000_CHH	0.001	0	0	Inf	equal
dmr_10010_CG	0.728333333333333	0.7845	0.456029544953256	1.07711670480549	equal
dmr_10011_CG	0.412333333333333	0.6495	0.0210718192852829	1.5751818916734	equal
dmr_10012_CG	0.942	0.9065	1.10017202829678e-06	1.03916161059018	equal
dmr_10013_CG	0.611666666666667	0.6825	0.640567077753382	1.1158038147139	equal
dmr_10014_CG	0.0346666666666667	0.227	1.83188537533117e-37	6.54807692307692	equal
dmr_10015_CG	0.849333333333333	0.8515	0.000288085046760831	1.00255102040816	equal
dmr_10016_CG	0.378666666666667	0.4765	9.57795725754561e-104	1.25836267605634	equal
dmr_10017_CG	0	0	0.292178774130518	NA	equal
dmr_10018_CG	0.321333333333333	0.0665	2.4412184654488e-113	4.83208020050125	dm
dmr_10019_CG	0.939	0.9605	0.00123706382935795	1.02289669861555	equal
dmr_1001_CG	0.758666666666667	0.576	0.0928227659166957	1.31712962962963	equal
dmr_1001_CHG	0.925333333333333	0.5825	1.58098651783376e-17	1.58855507868383	equal
dmr_1001_CHH	0.193	0.1455	3.79669789021086e-22	1.32646048109966	equal
dmr_10020_CG	0.841333333333333	0.833	8.62876710243864e-08	1.01000400160064	equal
dmr_10021_CG	0.837666666666667	0.8115	2.36595866378022e-05	1.03224481413021	equal
dmr_10022_CG	0.958	0.834	3.60322823151611e-47	1.14868105515588	equal
dmr_10023_CG	0.673	0.7355	0.969259257585529	1.09286775631501	equal
dmr_10024_CG	0.843666666666667	0.7345	0.0111635317704544	1.14862718402541	equal
dmr_10025_CG	0.671333333333333	0.819	0.713497520014773	1.21996027805362	equal
dmr_10026_CG	0.671333333333333	0.819	0.713497520014773	1.21996027805362	equal
dmr_10027_CG	0.0386666666666667	0.0085	2.29183244344507e-05	4.54901960784314	equal
dmr_10028_CG	0.683666666666667	0.7725	0.190543453263266	1.12993661628474	equal
dmr_10029_CG	0.396333333333333	0.776	0.0027005848017934	1.95794785534062	equal
dmr_1002_CG	0.968333333333333	0.8295	3.20707801911362e-07	1.16736990154712	equal
dmr_1002_CHG	0.282666666666667	0.228	0.681963395638746	1.23976608187134	equal
dmr_1002_CHH	0.297666666666667	0.3045	0.327470442064468	1.02295632698768	equal
dmr_10030_CG	0.787666666666667	0.7785	0.122889085361941	1.01177478056091	equal
dmr_10031_CG	0.809	0.7925	7.95490427649233e-22	1.02082018927445	equal
dmr_10032_CG	0.814	0.8355	0.187324814880401	1.02641277641278	equal
dmr_10033_CG	0.814	0.8355	0.187324814880401	1.02641277641278	equal
dmr_10034_CG	0.814	0.8355	0.187324814880401	1.02641277641278	equal
dmr_10035_CG	0.835666666666667	0.782	0.0946655663274495	1.06862745098039	equal
dmr_10036_CG	0.764333333333333	0.695	7.33358049182158e-05	1.09976019184652	equal
dmr_10037_CG	0.13	0.052	0.499119655076987	2.5	equal
dmr_10038_CG	0.770333333333333	0.7035	0.00171209404492229	1.09500118455342	equal
dmr_10039_CG	0.629666666666667	0.45	2.41251672463264e-17	1.39925925925926	equal
dmr_1003_CG	0.964333333333333	0.796	3.85416144562732e-68	1.21147403685092	equal
dmr_1003_CHG	0	0	0.292178774130518	NA	equal
dmr_1003_CHH	0.102333333333333	0.186	0.0316624743271388	1.81758957654723	equal
dmr_10040_CG	0.629666666666667	0.45	2.41251672463264e-17	1.39925925925926	equal
dmr_10041_CG	0.821333333333333	0.803	0.000441834069338967	1.02283105022831	equal
dmr_10042_CG	0.238333333333333	0.4435	3.01481769384932e-08	1.86083916083916	equal
dmr_10043_CG	0.238333333333333	0.4435	3.01481769384932e-08	1.86083916083916	equal
dmr_10044_CG	0.531	0.8015	0.0444617047025669	1.50941619585687	equal
dmr_10045_CG	0.403333333333333	0.3215	0.481792907727265	1.25453602903059	equal
dmr_10046_CG	0.707	0.9235	2.66440208487852e-05	1.30622347949081	equal
dmr_10047_CG	0.985	0.911	1.45484736616951e-78	1.08122941822173	equal
dmr_10048_CG	0.489	0.4635	0.716878089392831	1.05501618122977	equal
dmr_10049_CG	0.844	0.786	0.0621977701708568	1.07379134860051	equal
dmr_1004_CG	0.937	0.7045	6.04140057731865e-06	1.33002129169624	equal
dmr_1004_CHG	0.47	0.3245	0.220477408078469	1.44838212634823	equal
dmr_1004_CHH	0.0486666666666667	0.012	0.102295033729624	4.05555555555556	equal
dmr_10050_CG	0.844	0.786	0.0621977701708568	1.07379134860051	equal
dmr_10051_CG	0.844	0.786	0.0621977701708568	1.07379134860051	equal
dmr_10052_CG	0.666	0.718	0.912848155133795	1.07807807807808	equal
dmr_10053_CG	0.933666666666667	0.8805	1.59730414884963e-52	1.06038235850842	equal
dmr_10054_CG	0.555	0.6945	0.574769893730527	1.25135135135135	equal
dmr_10055_CG	0.804333333333333	0.552	8.44466766827161e-82	1.45712560386473	equal
dmr_10056_CG	0.113333333333333	0.782	4.84461005626726e-13	6.9	dm
dmr_10057_CG	0.312333333333333	0.1775	0.740164542792824	1.75962441314554	equal
dmr_10058_CG	0.452666666666667	0.799	0.00151660499718676	1.76509572901325	equal
dmr_10059_CG	0.150333333333333	0.483	8.18895238586407e-07	3.21286031042129	dm
dmr_1005_CG	0.827666666666667	0.798	2.12473570792315e-10	1.03717627401838	equal
dmr_1005_CHG	0.489333333333333	0.159	9.21457914506138e-05	3.07756813417191	dm
dmr_1005_CHH	0.284666666666667	0.078	0.11749909443721	3.64957264957265	equal
dmr_10060_CG	0.436333333333333	0.7405	1.30566479486296e-06	1.69709702062643	equal
dmr_10061_CG	0.436333333333333	0.7405	1.30566479486296e-06	1.69709702062643	equal
dmr_10062_CG	0.361	0.0375	0.0502826654625599	9.62666666666667	equal
dmr_10063_CG	0.422	0.5425	0.225568703153321	1.28554502369668	equal
dmr_10064_CG	0.181	0.36	6.76372501833539e-10	1.98895027624309	equal
dmr_10065_CG	0	0.1915	0.0112107532375322	Inf	equal
dmr_10066_CG	0	0.273	0.00187821584627245	Inf	equal
dmr_10067_CG	0.707333333333333	0.482	2.48901982040436e-22	1.46749654218534	equal
dmr_10068_CG	0.938	0.843	0.000116636532921383	1.11269276393832	equal
dmr_10069_CG	0.916333333333333	0.813	0.00061322985079478	1.12710127101271	equal
dmr_1006_CG	0.808333333333333	0.872	0.727793968935352	1.07876288659794	equal
dmr_1006_CHG	0.489666666666667	0.366	8.73626272110237e-12	1.33788706739526	equal
dmr_1006_CHH	0.326	0.2	0.111780949442933	1.63	equal
dmr_10070_CG	0.885333333333333	0.968	0.520617604234059	1.0933734939759	equal
dmr_10071_CG	0.789666666666667	0.8615	0.120361176621587	1.09096665259603	equal
dmr_10072_CG	0.449333333333333	0.6085	0.00722375852338116	1.35422848664688	equal
dmr_10073_CG	0.903666666666667	0.793	0	1.1395544346364	equal
dmr_10074_CG	0.688	0.799	0.852330877237399	1.16133720930233	equal
dmr_10075_CG	0.0876666666666667	0.5015	1.42678238371205e-07	5.72053231939164	dm
dmr_10076_CG	0.876333333333333	0.9075	0.420344105303601	1.03556485355649	equal
dmr_10077_CG	0.876333333333333	0.9075	0.420344105303601	1.03556485355649	equal
dmr_10078_CG	0.630333333333333	0.5775	0.00533811581396854	1.09148629148629	equal
dmr_10079_CG	0.932	0.9285	0.0390053169021746	1.00376952073236	equal
dmr_1007_CG	0.572666666666667	0.5385	0.748564490225731	1.06344784896317	equal
dmr_1007_CHG	0.456	0.5645	0.00320611373750584	1.23793859649123	equal
dmr_1007_CHH	0.0376666666666667	0.171	2.74893055588252e-09	4.53982300884956	equal
dmr_10080_CG	0.839666666666667	0.818	0.0913855850435281	1.02648736756316	equal
dmr_10081_CG	0.839666666666667	0.818	0.0913855850435281	1.02648736756316	equal
dmr_10082_CG	0.885	0.937	0.313816056767927	1.05875706214689	equal
dmr_10083_CG	0.542333333333333	0.2955	0.174928826465046	1.83530738860688	equal
dmr_10084_CG	0.542333333333333	0.2955	0.174928826465046	1.83530738860688	equal
dmr_10085_CG	0.853333333333333	0.793	8.36236950412209e-15	1.0760823875578	equal
dmr_10086_CG	0.579333333333333	0.796	0.517672301641324	1.37399309551208	equal
dmr_10087_CG	0.313	0.624	6.18024605694253e-66	1.99361022364217	equal
dmr_10088_CG	0.842	0.823	0.00220198528870263	1.02308626974484	equal
dmr_10089_CG	0.888	0.7995	1.30533340060968e-38	1.11069418386492	equal
dmr_1008_CG	0.949	0.9345	0.00178571207999888	1.01551631888711	equal
